Bulan;2018;2019;2020;2021;2022;2023
January;428119152;483090279;560460815;487507982;714711315;900796559
February;358130767;351465474;450423193;369572483;545246312;633787375
March;455039472;445098459;453376776;483872609;722084003;772481009
April;546156245;485731491;504703760;714210176;1367913715;991414194
May;474194889;522256203;459296096;588800941;857698769;751398095
June;502279900;424206413;386661052;496743778;1261493084;749813878
July;524512856;514622225;453400589;546429233;797613032;836354027
August;573518079;545657640;414006555;592896009;773320788;838966661
September;554237823;561839207;529957290;802721093;763264037;827910165
October;642066862;710376623;593982625;807867333;984403300;975420672
November;702228609;731362226;678349061;804631641;872766469;1028141172
December;915114799;1012207070;1041255504;1286949680;872766469;1464265000
